m,n,mu,nu,Re[A],Im[A],Re[B],Im[B]
0,1,-7,8,-2.0283523063448418e10,7.597916467779227e9,-9.791750362703583e8,-2.6140218302370667e9
0,1,-6,8,1.6410403625949213e10,2.339246312786421e9,-2.822790850644036e8,1.9802590508035595e9
0,1,-5,8,-5.917231899319818e9,-4.420304171755306e9,4.933258212872504e8,-6.603896852782966e8
0,1,-4,8,8.429906285918466e8,1.8419681320193882e9,-1.8776254585982615e8,8.593094720364769e7
0,1,-3,8,2.2341071655764587e7,-3.150408271053724e8,2.9480964133979373e7,2.0906380251647246e6
0,1,-2,8,-7.9135881272541005e6,1.2324683166562466e7,-1.4426677214373525e6,-926326.2941875533
0,1,-1,8,-2.9615240834540697e6,1.6178879811774003e6,-24485.449447085288,-44820.31473066026
0,1,0,8,363581.3276089984,0.0008346691414114112,0.,0.
0,1,1,8,41132.27894450652,22470.666391248615,340.075688601814,-622.5043702557542
0,1,2,8,-1570.1563541474654,-2445.3736571986515,-286.24359606558335,183.79489879580677
0,1,3,8,-67.16291112036303,-947.092433769975,-88.62723707355683,6.284986586637732
0,1,4,8,42.23738534968183,-92.29037049904026,-9.407695286509998,-4.305502833776936
0,1,5,8,5.701505192477929,-4.259151501754915,-0.47534045751579296,-0.6363136157186633
0,1,6,8,0.3764791303336094,-0.05366579844354897,-0.006475903010622842,-0.04543009559784635
0,1,7,8,0.015511142190617533,0.005810251129827307,0.000748791188345143,-0.001998985291228057
0,1,8,8,0.0003996309325511383,0.0004627011988104608,0.00006303904184877334,-0.00005444626266745249
0,1,-9,9,-1.2020379169917808e12,-2.5920893799554282e11,3.1487553529103863e10,-1.4601824128661804e11
0,1,-8,9,1.5887153898799187e12,1.3721594291836274e12,-1.5886648666264658e11,1.8393899930314307e11
0,1,-7,9,-5.758136631986179e11,-1.5372016475620222e12,1.6835171360734918e11,-6.306213440980444e10
0,1,-6,9,-1.0784583069823782e11,7.56565738935602e11,-7.768616485900519e10,-1.1073894246836391e10
0,1,-5,9,1.367621728888453e11,-1.8307642675704178e11,1.7464927034967983e10,1.3046689915277765e10
0,1,-4,9,-3.923527105769222e10,1.7956318196276817e10,-1.5868432535153785e9,-3.467315765850577e9
0,1,-3,9,4.267103323629588e9,3.0260096792218375e8,-2.6118251618129782e7,3.6830443425523925e8
0,1,-2,9,2.9183061500710864e7,1.8738228290248353e7,5.125723698380705e6,-7.982841681975464e6
0,1,-1,9,-2.5633522907535248e7,-4.692184894742391e7,881029.2770051961,-481308.4876317559
0,1,0,9,-0.00011356167194842295,1.5857277643756878e6,0.,0.
0,1,1,9,-284816.9212036787,521353.87718876835,9789.214188746002,5347.872085164518
0,1,2,9,-3684.7299863480484,2365.937917172599,-647.1873356163178,-1007.9345558292613
0,1,3,9,6413.996097348811,-454.84753444549614,-39.25903620176958,-553.6081563495355
0,1,4,9,756.0971254285969,346.0335612950106,30.579822446948327,-66.8181310547294
0,1,5,9,37.6503382215134,50.40055479118859,4.808057637759456,-3.591726261674444
